actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Yeom Jung Ah,Park Yong Woo,South Korea,"Oct  6, 2012 - Apr  7, 2013",51,"Romance,  Drama,  Family",SBS,4595,99999,6.9,"Cohabitation, Multiple Couples, Riches To Rags","My Love, Madame Butterfly",243,812
Lee Bo Young,Kang Kyung Joon,South Korea,"Feb 11, 2005",2,Drama,MBC,99999,99999,7.5,,Encounter,13,149
Park Joon Hyuk,Song Ok Sook,South Korea,"Aug 29, 2005 - Mar 18, 2006",174,"Romance,  Family",KBS1,99999,99999,7.1,,TV Novel: Hometown Station,10,27
Han Ji Hye,Kim Min Jong,South Korea,"Jun  2, 2004 - Jul 22, 2004",16,"Comedy,  Romance,  Crime",SBS,99999,99999,6.1,,Island Village Teacher,15,162
Hwang Soo Jung,Kim Young Ho,South Korea,"Jan 12, 2007 - Mar 16, 2007",20,"Romance,  Drama,  Melodrama",SBS,99999,99999,5.3,,Salt Doll,4,32
Jang Shin Young,Seo Do Young,South Korea,"Feb  4, 2013 - Aug  1, 2013",120,Melodrama,jTBC,6375,99999,7.0,Revenge,Thorn Flower,41,469
Lee Sang Woo,Nam Sang Mi,South Korea,"Jun 29, 2013 - Oct 27, 2013",36,"Comedy,  Romance,  Drama",SBS,2926,99999,6.5,,Goddess Of Marriage,548,1596
Jeon So Min,Oh Chang Seok,South Korea,"May 20, 2013 - Dec 20, 2013",150,"Comedy,  Romance,  Drama,  Family",MBC,5598,99999,6.8,"Second Chance, Riches To Rags, Unrequited Love, Marriage",Princess Aurora,64,591
Uhm Ji Won,Song Chang Eui,South Korea,"Nov  9, 2013 - Mar 30, 2014",40,"Drama,  Family",SBS,4161,99999,6.1,,The Woman Who Married Three Times,252,955
Kang Ye Sol,Kang Eun Tak,South Korea,"Jan  6, 2014 - Aug 22, 2014",163,"Historical,  Romance,  Drama,  Family,  Melodrama",KBS2,99999,99999,7.2,,TV Novel: Gold Land,14,112
Park Jung Chul,Kwon Yool,South Korea,"Jan  6, 2014 - Jun  2, 2014",103,"Romance,  Drama,  Family,  Melodrama",KBS2,3807,99999,7.1,"Male Chases Female First, Birth Secret, Revenge, Rich Man/Poor Woman",Angel's Revenge,349,1089
Kim Ji Min,Yoon Chan Young,South Korea,"Feb  7, 2014 - May 23, 2014",16,"Mystery,  School,  Youth,  Investigation",EBS,8251,99999,8.2,,Pluto Squad,9,293
Kim Jae Won,Lee Young Bum,South Korea,"May  2, 2001 - Jan 23, 2002",37,Sitcom,SBS,99999,99999,4.5,,Honey Honey,3,29
Go Soo,Kim So Yeon,South Korea,"Nov  4, 2000 - Apr 22, 2001",50,"Drama,  Family",MBC,99999,99999,7.0,,Mothers and Sisters,11,51
Jo Hye Ryun,Park Chul,South Korea,"Jul 30, 2013 - Feb 25, 2014",31,"Comedy,  Family,  Sitcom",MBC,99999,99999,7.5,,Reckless Family Season 3,2,71
Jang Shin Young,Bae Soo Bin,South Korea,"Jan 17, 2015 - Apr 12, 2015",26,"Romance,  Drama,  Family,  Melodrama",SBS,2598,99999,7.0,"Multiple Mains, Multiple Couples, Obsessive Male Lead, Possessive Male Lead, Death, Antihero, Obsession, Power Struggle, Unrequited Love",My Heart Twinkle Twinkle,553,1915
Kim Bo Yun,Oh  Gwang Rok ,South Korea,"Jan  5, 2015 - Jun 12, 2015",111,"Comedy,  Romance,  Drama,  Family,  Melodrama",MBC,99999,99999,6.5,,Iron Lady Cha,24,200
Im Ji Eun,Lee Joo Hyun,South Korea,"Apr 23, 2001 - Nov  3, 2001",167,"Romance,  Drama",KBS1,99999,99999,7.5,,TV Novel: Flower Story,2,11
Song Yoon Ah,Song Jae Ho,South Korea,"Feb 27, 2002 - Apr 25, 2002",18,"Drama,  Family",MBC,99999,99999,6.1,,Present,3,18
Seol Soo Jin,Bae Jong Ok,South Korea,"Mar  2, 2003 - Sep 20, 2003",168,"Romance,  Drama",MBC,99999,99999,7.5,,While You Were Dreaming,2,15
Oh Hyun Kyung,Hong Ah Reum,South Korea,"May  4, 2015 - Oct 22, 2015",100,"Romance,  Drama,  Family,  Melodrama",tvN,6651,99999,7.2,,A Bird That Doesn't Sing,53,436
Park Gun Woo,Lee Yoo Mi,South Korea,"Sep  2, 2010 - Feb 24, 2011",24,Youth,EBS,99999,99999,8.0,Premonition,Future Boy,1,77
Lee Joo Seung,Kim Bo Ra,South Korea,"Nov 19, 2014 - Nov 21, 2014",5,"Food,  Life,  Youth,  Family",EBS,99999,99999,8.2,,Bland you,2,81
Hyun Seung Hee,Lee Il Hwa,South Korea,"Jul  9, 2015 - Jul 16, 2015",9,"Comedy,  Life,  Supernatural",Naver TV Cast,4527,99999,6.9,"Miniseries, Idol Actor",Loss:Time:Life,215,829
Jin Hye Won,,South Korea,"Jan 30, 2015 - Mar  6, 2015",6,Romance,Naver TV Cast,99999,99999,10.0,"Miniseries, Web Series",Begin Now,1,113
Kim Ji Young,Lee Hoon,South Korea,"Jun 20, 2016 - Dec  9, 2016",122,"Romance,  Drama,  Family,  Melodrama",SBS,7566,99999,7.4,,Here Comes Love,72,349
Seo Ha Joon,Yang  Jin Sung,South Korea,"Jan  4, 2016 - Jun 17, 2016",120,"Romance,  Drama,  Family,  Melodrama",SBS,6621,99999,7.1,,My Son-In-Law's Woman,102,439
Kim So Hye,Kang  Byul,South Korea,"Oct 31, 2016 - Apr 21, 2017",122,"Romance,  Drama,  Family,  Melodrama",MBC,99999,99999,6.6,,Always Springtime,28,210
Yuna,Moon Chang Gil,South Korea,"Dec 12, 2016 - Dec 14, 2016",7,"Comedy,  Life,  Youth,  Drama,  Family",Naver TV Cast,7703,99999,7.5,"Grandpa-Granddaughter Relationship, Miniseries, Father-Daughter Relationship, Father-Son Relationship, Web Series, Age Gap, AOA",My Old Friend,61,336
Lee  Joo Yeon,Choi Tae Hwan,South Korea,"Oct 14, 2016 - Nov 17, 2016",10,"Romance,  Fantasy","Naver TV Cast, Viki",4376,99999,6.3,"Miniseries, Beauty And Makeup, Makeover",The Facetale Season 1: Cinderia,374,877
Im Soo Hyang,Do Ji Han,South Korea,"May 29, 2017 - Nov 10, 2017",120,"Comedy,  Romance,  Family,  Melodrama",KBS1,2452,99999,7.4,"Police Officer, Single Parent",Lovers in Bloom,539,2045
Jang Geun Suk,Yang Taek Jo,South Korea,"Mar  6, 2000 - Feb 15, 2002",476,"Youth,  Drama,  Family,  Fantasy",KBS2,99999,99999,7.5,,Fairy Commi,2,20
Jung Ye In,Jung Tae Ri,South Korea,"Oct  9, 2017 - Oct 13, 2017",5,"Action,  Comedy,  Romance",Naver TV Cast,8148,99999,6.1,"Miniseries, Friends To Lovers, Web Series, Police, Amnesia",The Blue Sea,108,299
Wang Bit Na,Park Ha Na,South Korea,"Feb 26, 2018 - Jul 20, 2018",103,"Friendship,  Mystery,  Family,  Melodrama",KBS2,5517,99999,7.0,,Mysterious Personal Shopper,163,605
Jin Hee Kyung,Lee Yoon Sung,South Korea,"Nov  5, 2001 - Dec 23, 2002",71,"Drama,  Family",MBC,99999,99999,7.6,,Lovers,4,12
Shin Dong Yup,Jung Sang Hoon,South Korea,"Sep  7, 2018 - Nov  9, 2018",10,"Comedy,  Life,  Drama,  Family",tvN,5814,99999,8.0,"Single Parent, Debt, Loan Shark, Black Comedy, Second Chance, Riches To Rags, Celebrity, Slight Romance",Big Forest,36,553
Park Jeong Hwa,Lee Jong Won,South Korea,"Jul 16, 2019 - Aug 13, 2019",10,"Life,  Drama,  Sports",Naver TV Cast,99999,99999,8.6,"Office Worker, Multiple Mains, Baseball, Web Series",Our Baseball,21,153
Baek Soo Hee,Son Hyun Woo,South Korea,"May 16, 2018 - Jun  1, 2018",5,"Romance,  Drama",vLive,99999,99999,7.2,"Coworkers, Coincidence, Blind Date, Neighbors, Miniseries, Web Series",Room of Romance,67,248
Ryu Eui Hyun,Shin Hye Jung,South Korea,"Feb 25, 2019 - Apr  2, 2019",12,"Comedy,  Romance","Naver TV Cast, vLive",7338,99999,7.7,"AOA, Idol Actress, Miniseries, Web Series",Can Love Be Refunded,18,368
Lee Sae Rom,Song Ha Young,South Korea,"Feb 13, 2019 - Feb 20, 2019",2,"Friendship,  Drama",vLive,99999,99999,7.8,"Fromis_9, K-Pop, Web Series",We See Winter,18,103
Lee Hyun Jun,Park Ji Ye,South Korea,"Feb 15, 2019 - Apr  5, 2019",8,"Mystery,  Horror,  Romance,  Youth,  Supernatural",Tooniverse,7272,99999,7.7,"Miniseries, Ghost","Remember, Hari 2",87,374
Lee Jung Ha,Hwang In Yeop,South Korea,"Mar 23, 2019 - Apr 28, 2019",12,"Friendship,  Comedy,  Romance,  Youth,  Drama","Naver TV Cast, vLive",7660,99999,7.1,"Miniseries, Web Series, College Life, Bromance",Freshman,72,341
Seola,Im Se Joon,South Korea,"May 28, 2019 - Jun 19, 2019",8,"Friendship,  Comedy,  Romance,  School",vLive,99999,99999,7.5,"Web Series, High School, Ghost, Miniseries, Idol Actor, Cosmic Girls (WJSN), Victon",In-Out Sider,51,192
Cha Ye Ryun,Choi Myung Gil,South Korea,"Nov  4, 2019 - Mar 27, 2020",103,"Romance,  Drama,  Family,  Melodrama",KBS2,5330,99999,7.2,"Revenge, Makjang, Dangerous Love, Death Of Family, Death Of A Child, Secondary Couple, Rich Family, Smart Female Lead, Forbidden Love, Multiple Mains",Gracious Revenge,156,642
Kim Seung Soo,Kim Hyun Soo,South Korea,"May 26, 2002",1,,KBS2,99999,99999,,,"Goodbye, My Love!",0,3
Min Moo Je,,South Korea,"Nov 16, 2015 - Nov 18, 2015",3,"Comedy,  Fantasy",Naver TV Cast,99999,99999,3.0,,"Idol, Protect The World",3,7
Lee Eun Mi,,South Korea,"Oct 13, 2008 - Nov  4, 2008",8,Mature,OCN,99999,99999,,Erotic,One Thousand and One Nights 2,0,5
Kim Ye Eun,Kang Yul,South Korea,"Nov  5, 2019 - Jan 21, 2020",12,"Friendship,  Romance,  Youth,  Drama",,6064,99999,8.1,"Dream, Share House, Cohabitation, Web Series, Housemates, Multiple Couples, Love/Hate Relationship, First Love, Love Triangle",22 Flower Road,165,511
Choi Kyu Jin,Jeon Hyo Sung,South Korea,"Nov 15, 2019 - Nov 29, 2019",6,Romance,Naver TV Cast,99999,99999,7.1,"Web Series, Idol Actor",The Pure Memories of My Heart,10,125
,,South Korea,"Aug 27, 2015 - Sep 10, 2015",3,"Crime,  Life,  Drama",,99999,99999,5.1,"Abusive Mother, Web Series",A Model Student,3,9
Min Do Hee,Jin Ye Ju,South Korea,"Jun 12, 2020 - Jul 21, 2020",12,"Friendship,  Romance,  School,  Youth,  Drama","jTBC, Naver TV Cast, vLive",4926,99999,8.0,"Roommates, Bold Female Lead, Best Friends, Blind Date, University Students, Female Centered Plot, Slow Burn Romance, BTS, Male Chases Female First, Sismance",IN-SEOUL: Season 2,296,730
,,South Korea,"Feb 27, 2019 - Apr  3, 2019",4,"Romance,  Youth,  Drama",,99999,99999,6.2,"Teenager, Lesbian Relationship, LGBTQ+, Gl Drama, Friends To Lovers, Lesbian Character, School",My Dear Friend,46,115
Lee Yoo Mi,Kim Dong Kyu,South Korea,"Apr 19, 2018 - May 24, 2018",6,"Food,  Comedy,  Romance",Naver TV Cast,99999,99999,8.0,"Café, Bookstore, Miniseries, Web Series, Advertisement","Something Between Us, Comic Book Cafe",10,52
Kim So Ri,Choi Hye Jin,South Korea,"Jul  7, 2020 - Aug 27, 2020",16,"Romance,  Life",Naver TV Cast,8940,99999,6.3,Web Series,Almost Famous,21,251
,,South Korea,"Mar  1, 2019 - Apr  5, 2019",6,"Comedy,  School,  Youth",Olleh TV,99999,99999,,"Miniseries, Artificial Intelligence, Web Series","Feel It, Genie 2",0,4
Kim Bum Su,Yoo Byung Hoon,South Korea,"Sep  4, 2020 - Nov  6, 2020",7,"Romance,  Youth",,99999,99999,5.2,"Miniseries, Web Series, Multiple Couples",LOVE-Imong 2,2,33
Siyoon,,South Korea,"Feb  9, 2019 - Mar 16, 2019",6,"Friendship,  Romance,  Life,  Youth",,99999,99999,,"Love Confession, Miniseries, Friends To Lovers, Web Series, First Love",Snow Blossom,0,5
Park Si Young,Choi Hong Gyu,South Korea,"Oct 14, 2020 - Nov 11, 2020",6,"Comedy,  Life,  Drama","Naver TV Cast, vLive",99999,99999,7.0,"Internship, Office Worker, Workplace, Web Series, Advertisement",Intern Z,3,65
Jeon Bo Ram,Kwon Kyung Ha,South Korea,"Apr 27, 2020 - Jul  9, 2020",6,"Drama,  Melodrama",,99999,99999,8.0,"T-ara, Slice Of Life, Mental Health, Youth",Shall We That’s,1,7
,,South Korea,"Nov  1, 2019 - Nov 26, 2019",8,,,99999,99999,,,Welcome to Amazon,0,2
Woo Joon Young,Kim Hee Jung,South Korea,2005 - 2006,1,"Adventure,  Friendship,  Historical,  School,  Youth,  Drama,  Fantasy",EBS,99999,99999,,"Jumong, Time Travel",EBS Jump: Season 1,0,1
,,South Korea,"Sep 29, 2020 - Oct 27, 2020",5,"Romance,  Drama",,99999,99999,6.0,"Literature, Cohabitation, Web Series",Yeokkeuni,4,33
Kim Min A,Jung Hyo Jun,South Korea,"Oct 16, 2020 - Oct 31, 2020",6,Romance,tvN,99999,99999,7.1,"Advertisement, Web Series, Miniseries",Someway,34,68
,,South Korea,"Feb 14, 2020",3,Romance,,99999,99999,8.0,"University, Web Series",Sungkyunkwan Romance,1,7
Jang Eui Soo,Park Shi An,South Korea,"Oct 13, 2020 - Nov  4, 2020",4,"Romance,  Drama",,99999,99999,6.0,"Time Jump Happy Ending, Happy Ending, Web Series, Ex-Boyfriend Comes Back, Break Up, Different Timelines, Infidelity, Ex-girlfriend Comes Back",Tell Me You've Changed,2,42
,,South Korea,"Apr  3, 2020 - Apr 24, 2020",4,"Romance,  Youth",,99999,99999,7.0,"Web Series, Advertisement",Heart Fluttering Spring,2,9
Lee Se Hee,Kang Min Woo,South Korea,"Nov 15, 2019 - Dec  6, 2019",4,Romance,,99999,99999,,"Miniseries, Web Series",Sandwich Theory,0,4
Yang Jung In,Guk Ji Yong,South Korea,"Sep 17, 2019 - Oct 11, 2019",8,"Comedy,  Romance",,99999,99999,3.0,"Miniseries, Web Series",Fool And Idiot,1,4
,,South Korea,"Apr 30, 2017 - Mar 19, 2018",10,Romance,,99999,99999,,"University, Web Series","Bamboo: 9pm, Please Tell My Story",0,3
Min Ha,Choi Tae Hwan,South Korea,"Feb 15, 2019 - Mar  8, 2019",9,,,99999,99999,,"Web Series, Adapted From A Novel",Chairman Park's Picture Warehouse,0,3
,,South Korea,"Nov  6, 2018 - Dec 11, 2018",11,,,99999,99999,3.0,,A Madly Realistic Story,1,3
,,South Korea,"Oct 18, 2019 - Dec 20, 2019",10,,,99999,99999,,,The Price of a Life,0,3
,,South Korea,"Apr  5, 2019 - Jun 13, 2019",2,Romance,,99999,99999,,"Miniseries, Web Series",Motae Solo,0,3
Jo Hyung Joo,Ki Eun Soo,South Korea,"Feb 15, 2020 - Mar 14, 2020",9,Romance,,99999,99999,8.0,"Miniseries, Web Series",Sweat Romance 2,1,8
Jo Hyung Joo,Ki Eun Soo,South Korea,"May  8, 2019 - May 22, 2019",5,Romance,,99999,99999,,"Miniseries, Web Series",Sweat Romance,0,7
,,South Korea,"Apr 12, 2018 - Jun 25, 2018",8,,,99999,99999,4.0,,Sweaty House,1,3
Jang Ji Geon,Ryeoun,South Korea,"Aug  9, 2018 - Sep  1, 2018",8,School,,99999,99999,,"Miniseries, Web Series",Doo Teob's Pretty Easy School Life,0,2
,,South Korea,"Mar  1, 2018 - Mar 22, 2018",7,,,99999,99999,,,Bamboo Forest,0,3
Son Ye Ji,Kim Jin Woo,South Korea,"Mar 21, 2019 - May 23, 2019",7,"School,  Youth,  Supernatural",,99999,99999,8.0,"Miniseries, Lying, Web Series",Noise,1,8
Ahn Eun Ah,,South Korea,"Apr  4, 2019 - Apr 20, 2019",6,Comedy,,99999,99999,,"Miniseries, Web Series",63 Feet Between You and Me,0,5
Oh Dong Min,Kim Yi Kyung,South Korea,"Oct 11, 2020 - Oct 29, 2020",6,"Romance,  Drama","Naver TV Cast, vLive",6309,99999,6.8,"Complicated Relationship, Multiple Leads, Idol Actress, Gugudan, Multiple Mains, Miniseries, Web Series, Open Relationship",My Fuxxxxx Romance,202,483
Bang Eun Jung,Chae Jong Hyeop,South Korea,"Aug, 2017 - 2017",10,"Romance,  Life",,99999,99999,,,No Bad Days,0,2
Han Sung Min,Hyun Woo Seok,South Korea,2019,8,"Friendship,  Romance,  Life,  School",Naver TV Cast,99999,99999,8.2,"Bestfriends, Secret Crush, Modeling, Vlogging, Slice Of Life, Miniseries, High School, Web Series, Actor",Nineteen,8,36
Xeheun,Ahn Ye Won,South Korea,"Oct  8, 2020 - Nov 12, 2020",6,"Friendship,  Romance,  Life,  Youth,  Drama",,99999,99999,2.5,"Multiple Character Stories, Overcoming Struggles, Multiple Mains, Personal Growth, Web Series",Sugar Coating,1,61
Lee Chun Hee,Jeon Hye Jin,South Korea,"May  3, 2018 - May 11, 2018",3,"Drama,  Family,  Fantasy","jTBC, Naver TV Cast",99999,99999,,"Miniseries, Web Series",May 32nd,0,3
Kim Kwan Soo,Lee Yoo Mi,South Korea,"Jun 13, 2018 - Jun 15, 2018",2,Comedy,Naver TV Cast,99999,99999,,"Miniseries, Web Series",Afternoon in a Small City,0,9
Lee Il Hyun,Park In Hoo,South Korea,"Dec  7, 2017 - Dec  9, 2017",2,"Romance,  Life,  Drama",,99999,99999,6.7,"Young Adult, Lonely Female Lead, Bartender, Alcoholism, Fight, Multiple Mains, Miniseries, Web Series, Multiple Couples",Luv Pub: Pilot,5,13
So Ju Yeon,Seo Han Gyeol,South Korea,"Nov 23, 2017 - Nov 25, 2017",2,Life,,99999,99999,7.9,"Hardship, Office Worker, Workplace, Miniseries, Web Series","Not Alright, But It's Alright: Pilot",5,12
Kim Ji In,Seo Hye Won,South Korea,"Mar  1, 2018 - Mar  3, 2018",2,Romance,,99999,99999,7.8,"Miniseries, Web Series, Friendship",Just One Bite: Pilot,16,36
,,South Korea,"Apr  7, 2018 - May 15, 2018",8,"Business,  Romance,  Drama",,99999,99999,,"YouTuber, Internship, Cosmetic Company, Beauty And Makeup, Beauty, Web Series","City's Night, Star",0,4
,,South Korea,"Oct 20, 2019 - Nov  6, 2019",6,"Drama,  Family",,99999,99999,7.5,"Single Mother, Mother-Daughter Relationship, Web Series",My Daughter's Just Like Me,1,5
Lee Jung Min,Oh Dong Min,South Korea,"Sep 22, 2020 - Oct  6, 2020",8,Romance,tvN,99999,99999,7.1,"Ex-lovers, Web Series",Romance Bible,8,154
Mir,Kim Ye Won,South Korea,"Jan 10, 2014 - May  9, 2014",16,"Friendship,  Romance,  School,  Youth",Tooniverse,99999,99999,,,Ohlala School 2,0,1
Kwang Hee,Kim Ye Won,South Korea,"Apr 26, 2013 - Jul 12, 2013",12,"Friendship,  Romance,  School,  Youth",Tooniverse,99999,99999,,,Ohlala School 1,0,2
Kim Min A,Kang Yul,South Korea,"May 28, 2019 - Jul 25, 2019",6,Romance,,99999,99999,,"Miniseries, Web Series",Love Vlog,0,27
,,South Korea,"Aug  7, 2020 - Sep 25, 2020",8,"Food,  Friendship,  Youth",Tooniverse,99999,99999,7.2,"ASMR, YouTuber, Mukbang, Miniseries, Web Series, Child",My Mukbang Diary,2,13
Park Jae Chan,Jang Mun Ik,South Korea,"Aug  9, 2019 - Nov 15, 2019",14,"Friendship,  Youth",Tooniverse,99999,99999,9.0,"YouTuber, Miniseries, Web Series, Audition",My YouTube Diary,2,12
Shim Eun Jin,Park So Hyun,South Korea,"Oct  2, 2010 - Dec 11, 2010",12,"Friendship,  Romance","E-Channel, SBS Plus",99999,99999,,"Best Friends, Mockumentary, Romance, Comedy, Friendship",Kiss and The City,0,7
Park Moon Ah,,South Korea,"Jan 26, 2018 - Feb 16, 2018",7,Romance,,99999,99999,3.0,"Miniseries, Web Series",Twenty: Moon,1,4
,,South Korea,"May 23, 2020 - Sep 30, 2020",4,"Friendship,  Youth",,99999,99999,6.4,"Miniseries, Web Series, Student, School",Cheeze Go,5,16
,,South Korea,"Aug 31, 2017 - Sep 20, 2017",6,"Romance,  School",,99999,99999,5.7,"Miniseries, Web Series",Between,3,14
Kim Na Yeon,,South Korea,"Dec 27, 2018 - Jan  8, 2019",6,School,,99999,99999,5.7,"YouTuber, Miniseries, Web Series",Moonlight Girls' High School,2,6
,,South Korea,"Jan  9, 2020 - Feb  8, 2020",3,School,,99999,99999,7.8,"Miniseries, Web Series",A Twist Girl,7,20
Ju Yeon Ha,Jo Ye Young,South Korea,"Aug 26, 2020 - Oct 28, 2020",6,"Friendship,  Music,  School,  Youth",Naver TV Cast,99999,99999,7.2,"Pianist, Singing, Miniseries, Web Series, Idol",Wannabe U,32,172
Choi Ji Hee,Kim Yool Ho,South Korea,"Aug 12, 2019 - Aug 16, 2019",5,Horror,,99999,99999,4.5,Web Series,Horror Monday,1,7
Kim Han Su,Heo Jung Hee,South Korea,"Sep 11, 2020 - Oct  2, 2020",14,"Comedy,  Youth",Daum Kakao TV,99999,99999,8.0,"Web Series, Sitcom","So Handsome Man, Si Bel Homme",1,27
Bae In Hyuk,Choi Ji Hee,South Korea,"Oct 11, 2019 - Oct 25, 2019",3,"Romance,  School,  Drama",,99999,99999,7.2,Web Series,"Teacher, Would You Like to Date Me?",5,51
Jo Ah Young,Kim Ka Bin,South Korea,"Jun 17, 2019 - Jan 23, 2020",6,"Romance,  School,  Youth",,99999,99999,8.0,"Multiple Personalities, Miniseries, Web Series",Multi Personality Girl,1,11
,,South Korea,"Apr 17, 2017",56,"Romance,  School,  Youth",,99999,99999,,Web Series,Sympathy,0,2
Song Geul Song Geul,,South Korea,"Jun 30, 2020 - Sep  1, 2020",10,Sitcom,,99999,99999,8.0,"Convenience Store, Web Series",King of Convenience,1,15
Siyoon,Song Geul Song Geul,South Korea,"Jul 25, 2019 - Aug 29, 2019",10,Thriller,Naver TV Cast,99999,99999,,"Miniseries, Web Series, Ghost",Kazua Library,0,5
,,South Korea,"Oct 25, 2018 - Dec 27, 2018",10,Romance,,99999,99999,,"Miniseries, Web Series",Someday 2,0,3
,,South Korea,"Apr 10, 2020 - Apr 17, 2020",2,,,99999,99999,8.0,,ShorTest,1,8
,,South Korea,"Dec  7, 2018 - Dec 28, 2018",3,"School,  Youth",Naver TV Cast,99999,99999,,"Miniseries, Web Series, First Love",Drama Made with You,0,3
,,South Korea,"Feb 13, 2019 - Mar  2, 2019",6,Drama,Naver TV Cast,99999,99999,,Web Series,20+1,0,6
,,South Korea,"Dec 12, 2017 - Feb  6, 2018",10,"Romance,  School,  Youth",,99999,99999,7.7,"Miniseries, Web Series",Someday,2,10
Jin So Yeon,Baek Bum Soo,South Korea,"Oct 20, 2019 - Dec  1, 2019",7,Comedy,Naver TV Cast,99999,99999,,"Miniseries, Web Series",Miss Kim's Secret Life: Consumption,0,5
Jin So Yeon,Yoon Hong Bin,South Korea,"Sep  9, 2018 - Dec 23, 2018",3,Comedy,Naver TV Cast,99999,99999,,"Miniseries, Web Series",Miss Kim's Secret Life,0,4
Kim Chan Mi,Kang Yul,South Korea,"Dec 20, 2019 - Jan 22, 2020",8,Romance,Kocowa,99999,99999,6.5,Web Series,Genome’s Romance,29,69
Park Ji Soo,Lee Song Kyung,South Korea,"Jun 22, 2020 - Aug 13, 2020",12,"Romance,  School",Naver TV Cast,99999,99999,7.7,"Web Series, First Love",How To Deal With First Love,7,32
Kim Min Seok,Song Seung Hyun,South Korea,2019,11,,,99999,99999,,,Perhaps Love?,0,8
Eunseo,Choi Jae Hyun,South Korea,"Sep  9, 2020 - Sep 30, 2020",4,"Friendship,  School,  Drama",Naver TV Cast,6799,99999,7.0,"Optimistic Female Lead, Bright Personality, Cosmic Girls (WJSN), Idol Actress, Bright Female Lead, Nice Female Lead, Painful Past, Miniseries, High School, Corruption",Dalgona,140,422
Choi Woo Jung,,South Korea,"Aug 19, 2019 - Sep 16, 2019",5,"Friendship,  Sitcom","Naver TV Cast, vLive",99999,99999,5.2,"YouTuber, Vlogging, Miniseries, Web Series, Advertisement, Childhood Friends, Food",Today Was Another Nam Hyun Day,4,8
Jung Min Gyu,Han Yoon Ji,South Korea,"Jul  8, 2020 - Jul 29, 2020",4,"Food,  Comedy,  Romance",,99999,99999,7.3,"Miniseries, Web Series, Advertisement","Something Between Us, Summer Story",10,46
